rank,university,city,field,branch,acceptance_rate,funding
30,Xavier University - Ateneo de Cagayan,Cagayan de Oro,Overall,Overall,48,Private
31,University of Perpetual Help System DALTA,Las Pinas,Overall,Overall,56,Private
32,University of San Jose-Recoletos,Cebu,Overall,Overall,61,Private
33,Technological Institute of the Philippines,Manila,Overall,Overall,66,Private
34,Palawan State University,Puerto Princesa,Overall,Overall,75,"Public-private
partnership"
35,Miriam College,Quezon,Overall,Overall,73,Private
36,Central Mindanao University,Maramag,Overall,Overall,74,"Public-private
partnership"
37,Adventist International Institute of Advanced Studies,Silang,Overall,Overall,73,Private
38,Angeles University Foundation,Angeles,Overall,Overall,80,Private
39,Cebu Normal University,Cebu,Overall,Overall,71,"Public-private
partnership"
40,West Visayas State University,Iloilo,Overall,Overall,67,"Public-private
partnership"
41,San Beda University,Manila,Overall,Overall,63,Private
42,University of Southern Mindanao,Kabacan,Overall,Overall,50,"Public-private
partnership"
43,Benguet State University,La Trinidad,Overall,Overall,100,"Public-private
partnership"
44,Laguna State Polytechnic University,Sta. Cruz,Overall,Overall,23,"Public-private
partnership"
45,Ateneo de Naga University,Naga,Overall,Overall,57,Private
46,Ateneo de Zamboanga University,Zamboanga,Overall,Overall,65,Private
47,University of Bohol,Tagbilaran City,Overall,Overall,76,Private
48,Caraga State University,Butuan,Overall,Overall,84,"Public-private
partnership"
49,University of the Philippines Mindanao,Davao,Overall,Overall,70,"Public-private
partnership"
50,University of Science and Technology of Southern Philippines,Cagayan de Oro,Overall,Overall,80,"Public-private
partnership"
51,University of Southeastern Philippines,Davao,Overall,Overall,100,"Public-private
partnership"
52,Isabela State University,Echague,Overall,Overall,88,"Public-private
partnership"
53,Batangas State University,Batangas,Overall,Overall,85,"Public-private
partnership"
54,Mariano Marcos State University,Batac,Overall,Overall,82,"Public-private
partnership"
55,John B. Lacson Foundation Maritime University,Iloilo,Overall,Overall,79,Private
56,Manuel S. Enverga University Foundation,Lucena,Overall,Overall,67,Private
57,Samar State University,Catbalogan City,Overall,Overall,92,"Public-private
partnership"
58,Adventist University of the Philippines,Cavite City,Overall,Overall,87,Private
59,Assumption College San Lorenzo,Makati,Overall,Overall,84,Private
60,Southern Luzon State University,Lucban,Overall,Overall,86,"Public-private
partnership"
61,Emilio Aguinaldo College,Manila,Overall,Overall,92,Private
62,Liceo de Cagayan University,Cagayan de Oro,Overall,Overall,86,Private
63,Leyte Normal University,Tacloban,Overall,Overall,84,"Public-private
partnership"
64,Southwestern University PHINMA,Cebu,Overall,Overall,86,Private
65,University of Northern Philippines,Vigan City,Overall,Overall,100,"Public-private
partnership"
66,Don Mariano Marcos Memorial State University,Bacnotan,Overall,Overall,50,"Public-private
partnership"
67,Quirino State University,Diffun,Overall,Overall,69,"Public-private
partnership"
68,Bohol Island State University,Bilar,Overall,Overall,72,"Public-private
partnership"
69,University of the Immaculate Conception,Davao,Overall,Overall,74,Private
70,New Era University,Quezon,Overall,Overall,90,Private
71,University of Rizal System,Tanay,Overall,Overall,43,"Public-private
partnership"
72,Philippine Christian University,Manila,Overall,Overall,82,Private
73,Surigao del Sur State University,Tandag,Overall,Overall,83,"Public-private
partnership"
74,Nueva Vizcaya State University,Bayombong,Overall,Overall,100,"Public-private
partnership"
75,Bukidnon State University,Malaybalay,Overall,Overall,87,"Public-private
partnership"
76,University of Zamboanga,Zamboanga,Overall,Overall,88,Private
77,Cebu Institute of Medicine,Cebu,Overall,Overall,83,Private
78,University of Eastern Philippines,Catarman,Overall,Overall,85,"Public-private
partnership"
79,Sacred Heart College,Lucena,Overall,Overall,85,Private
80,Nueva Ecija University of Science and Technology,Cabanatuan,Overall,Overall,83,"Public-private
partnership"
81,Sorsogon State College,Sorsogon,Overall,Overall,81,"Public-private
partnership"
82,Central Philippine University,Iloilo,Overall,Overall,81,Private
83,Centro Escolar University,Manila,Overall,Overall,80,Private
84,Saint Mary's University of Bayombong,Bayombong,Overall,Overall,70,Private
85,"Saint Louis University, Baguio City",Baguio,Overall,Overall,83,Private
86,Lorma Colleges,City of San Fernando,Overall,Overall,90,Private
87,University of Pangasinan,Dagupan,Overall,Overall,100,Private
88,Holy Angel University,Angeles,Overall,Overall,94,Private
89,University of Iloilo - PHINMA,Iloilo,Overall,Overall,88,Private
90,University of the East Ramon Magsaysay,Quezon,Overall,Overall,82,Private
91,St. Paul University Quezon City,Quezon,Overall,Overall,71,Private
92,Western Mindanao State University,Zamboanga,Overall,Overall,45,"Public-private
partnership"
93,Philippine Women's University,Manila,Overall,Overall,65,Private
94,Bicol University,Legazpi,Overall,Overall,72,"Public-private
partnership"
95,National Defense College of the Philippines,Quezon,Overall,Overall,76,Private
96,De La Salle Medical and Health Sciences Institute,Dasmarinas,Overall,Overall,81,Private
97,Our Lady of Fatima University,Valenzuela,Overall,Overall,78,Private
98,University of the Visayas,Cebu,Overall,Overall,80,Private
99,"National University, Philippines",Manila,Overall,Overall,78,Private
100,AMA Computer University,Quezon,Overall,Overall,77,Private
1,University of the Philippines Diliman,Quezon,Art & Design,Overall,12,"Public-private
partnership"
2,De La Salle University,Manila,Art & Design,Overall,35,Private
3,Ateneo de Manila University,Quezon,Art & Design,Overall,42,Private
4,University of Santo Tomas,Manila,Art & Design,Overall,90,Private
5,Mapua University,Manila,Art & Design,Overall,78,Private
6,University of the Philippines Manila,Manila,Art & Design,Overall,51,"Public-private
partnership"
7,University of the Philippines Los Banos,Los Banos,Art & Design,Overall,15,"Public-private
partnership"
8,University of San Carlos,Cebu,Art & Design,Overall,61,Private
9,Silliman University,Dumaguete City,Art & Design,Overall,64,Private
10,Asian Institute of Management,Makati,Art & Design,Overall,60,Private
11,Angeles University Foundation,Angeles,Art & Design,Overall,80,Private
12,Mindanao State University,Marawi,Art & Design,Overall,53,"Public-private
partnership"
13,Mindanao State University - Iligan Institute of Technology,Iligan,Art & Design,Overall,40,"Public-private
partnership"
14,Philippine Normal University,Manila,Art & Design,Overall,50,"Public-private
partnership"
15,Lyceum of the Philippines University,Manila,Art & Design,Overall,82,Private
16,Polytechnic University of the Philippines,Manila,Art & Design,Overall,40,"Public-private
partnership"
17,Bulacan State University,Malolos,Art & Design,Overall,52,"Public-private
partnership"
18,Laguna State Polytechnic University,Sta. Cruz,Art & Design,Overall,23,"Public-private
partnership"
19,University of Mindanao,Davao,Art & Design,Overall,92,Private
20,University of the East - Philippines,Manila,Art & Design,Overall,70,Private
21,Central Luzon State University,Science City of Munoz,Art & Design,Overall,67,"Public-private
partnership"
22,Technological Institute of the Philippines,Manila,Art & Design,Overall,66,Private
23,Adventist International Institute of Advanced Studies,Silang,Art & Design,Overall,73,Private
24,Cebu Normal University,Cebu,Art & Design,Overall,71,"Public-private
partnership"
25,Leyte Normal University,Tacloban,Art & Design,Overall,84,"Public-private
partnership"
26,Visayas State University,Baybay,Art & Design,Overall,82,"Public-private
partnership"
27,University of Perpetual Help System DALTA,Las Pinas,Art & Design,Overall,56,Private
28,Adamson University,Manila,Art & Design,Overall,61,Private
29,Caraga State University,Butuan,Art & Design,Overall,84,"Public-private
partnership"
30,University of the Philippines Baguio,Baguio,Art & Design,Overall,45,"Public-private
partnership"
31,University of the Philippines in the Visayas,Iloilo,Art & Design,Overall,12,"Public-private
partnership"
32,Isabela State University,Echague,Art & Design,Overall,88,"Public-private
partnership"
33,West Visayas State University,Iloilo,Art & Design,Overall,67,"Public-private
partnership"
34,Assumption College San Lorenzo,Makati,Art & Design,Overall,84,Private
35,University of Science and Technology of Southern Philippines,Cagayan de Oro,Art & Design,Overall,80,"Public-private
partnership"
36,Surigao del Sur State University,Tandag,Art & Design,Overall,83,"Public-private
partnership"
37,Batangas State University,Batangas,Art & Design,Overall,85,"Public-private
partnership"
38,Liceo de Cagayan University,Cagayan de Oro,Art & Design,Overall,86,Private
39,Emilio Aguinaldo College,Manila,Art & Design,Overall,92,Private
1,De La Salle University,Manila,Art & Design,Aesthetics,35,Private
2,University of the Philippines Diliman,Quezon,Art & Design,Aesthetics,12,"Public-private
partnership"
3,Ateneo de Manila University,Quezon,Art & Design,Aesthetics,42,Private
4,University of Santo Tomas,Manila,Art & Design,Aesthetics,90,Private
5,University of the Philippines Los Banos,Los Banos,Art & Design,Aesthetics,15,"Public-private
partnership"
6,University of the Philippines Manila,Manila,Art & Design,Aesthetics,51,"Public-private
partnership"
1,Ateneo de Manila University,Quezon,Art & Design,History,42,Private
2,University of the Philippines Diliman,Quezon,Art & Design,History,12,"Public-private
partnership"
3,De La Salle University,Manila,Art & Design,History,35,Private
4,University of Santo Tomas,Manila,Art & Design,History,90,Private
1,De La Salle University,Manila,Art & Design,Cinematography,35,Private
2,University of the Philippines Diliman,Quezon,Art & Design,Cinematography,12,"Public-private
partnership"
3,Ateneo de Manila University,Quezon,Art & Design,Cinematography,42,Private
1,University of the Philippines Diliman,Quezon,Art & Design,Computer Graphics,12,"Public-private
partnership"
2,De La Salle University,Manila,Art & Design,Computer Graphics,35,Private
1,Ateneo de Manila University,Quezon,Art & Design,Creative Writing,42,Private
2,University of the Philippines Diliman,Quezon,Art & Design,Creative Writing,12,"Public-private
partnership"
3,De La Salle University,Manila,Art & Design,Creative Writing,35,Private
1,De La Salle University,Manila,Art & Design,Entertainment Industry,35,Private
1,University of the Philippines Diliman,Quezon,Art & Design,Fashion Design,12,"Public-private
partnership"
2,De La Salle University,Manila,Art & Design,Fashion Design,35,Private
3,Ateneo de Manila University,Quezon,Art & Design,Fashion Design,42,Private
4,University of Santo Tomas,Manila,Art & Design,Fashion Design,90,Private
5,Silliman University,Dumaguete City,Art & Design,Fashion Design,64,Private
6,University of the Philippines Manila,Manila,Art & Design,Fashion Design,51,"Public-private
partnership"
7,Mapua University,Manila,Art & Design,Fashion Design,78,Private
8,University of the Philippines Los Banos,Los Banos,Art & Design,Fashion Design,15,"Public-private
partnership"
9,Philippine Normal University,Manila,Art & Design,Fashion Design,50,"Public-private
partnership"
10,Mindanao State University,Marawi,Art & Design,Fashion Design,53,"Public-private
partnership"
11,Laguna State Polytechnic University,Sta. Cruz,Art & Design,Fashion Design,23,"Public-private
partnership"
12,Lyceum of the Philippines University,Manila,Art & Design,Fashion Design,82,Private
13,University of the Philippines in the Visayas,Iloilo,Art & Design,Fashion Design,12,"Public-private
partnership"
1,Mapua University,Manila,Art & Design,Graphic Design,78,Private
2,De La Salle University,Manila,Art & Design,Graphic Design,35,Private
1,University of the Philippines Diliman,Quezon,Art & Design,Literature,12,"Public-private
partnership"
2,De La Salle University,Manila,Art & Design,Literature,35,Private
3,Ateneo de Manila University,Quezon,Art & Design,Literature,42,Private
4,University of Santo Tomas,Manila,Art & Design,Literature,90,Private
5,University of the Philippines Los Banos,Los Banos,Art & Design,Literature,15,"Public-private
partnership"
6,University of the Philippines Manila,Manila,Art & Design,Literature,51,"Public-private
partnership"
7,Philippine Normal University,Manila,Art & Design,Literature,50,"Public-private
partnership"
8,Mindanao State University,Marawi,Art & Design,Literature,53,"Public-private
partnership"
9,Laguna State Polytechnic University,Sta. Cruz,Art & Design,Literature,23,"Public-private
partnership"
10,Leyte Normal University,Tacloban,Art & Design,Literature,84,"Public-private
partnership"
11,Cebu Normal University,Cebu,Art & Design,Literature,71,"Public-private
partnership"
12,University of Mindanao,Davao,Art & Design,Literature,92,Private
1,De La Salle University,Manila,Art & Design,Multimedia,35,Private
2,Mapua University,Manila,Art & Design,Multimedia,78,Private
3,Ateneo de Manila University,Quezon,Art & Design,Multimedia,42,Private
4,University of the Philippines Diliman,Quezon,Art & Design,Multimedia,12,"Public-private
partnership"
5,Laguna State Polytechnic University,Sta. Cruz,Art & Design,Multimedia,23,"Public-private
partnership"
1,Philippine Normal University,Manila,Art & Design,Music,50,"Public-private
partnership"
2,University of the Philippines Diliman,Quezon,Art & Design,Music,12,"Public-private
partnership"
1,University of the Philippines Diliman,Quezon,Art & Design,Painting and Drawing,12,"Public-private
partnership"
1,University of the Philippines Diliman,Quezon,Art & Design,Sculpture,12,"Public-private
partnership"
1,Mapua University,Manila,Art & Design,UX/UI Desgin,78,Private
2,De La Salle University,Manila,Art & Design,UX/UI Desgin,35,Private
1,University of the Philippines Diliman,Quezon,Biology,Overall,12,"Public-private
partnership"
2,University of the Philippines Manila,Manila,Biology,Overall,51,"Public-private
partnership"
3,University of the Philippines Los Banos,Los Banos,Biology,Overall,15,"Public-private
partnership"
4,De La Salle University,Manila,Biology,Overall,35,Private
5,University of Santo Tomas,Manila,Biology,Overall,90,Private
6,Ateneo de Manila University,Quezon,Biology,Overall,42,Private
7,Mapua University,Manila,Biology,Overall,78,Private
8,Central Luzon State University,Science City of Munoz,Biology,Overall,67,"Public-private
partnership"
9,Visayas State University,Baybay,Biology,Overall,82,"Public-private
partnership"
10,University of San Carlos,Cebu,Biology,Overall,61,Private
11,University of the Philippines in the Visayas,Iloilo,Biology,Overall,12,"Public-private
partnership"
12,Mindanao State University - Iligan Institute of Technology,Iligan,Biology,Overall,40,"Public-private
partnership"
13,Angeles University Foundation,Angeles,Biology,Overall,80,Private
14,Silliman University,Dumaguete City,Biology,Overall,64,Private
15,Mindanao State University,Marawi,Biology,Overall,53,"Public-private
partnership"
16,Central Mindanao University,Maramag,Biology,Overall,74,"Public-private
partnership"
17,University of the Philippines Baguio,Baguio,Biology,Overall,45,"Public-private
partnership"
18,University of Asia and the Pacific,Pasig,Biology,Overall,74,Private
19,Asian Institute of Management,Makati,Biology,Overall,60,Private
20,Caraga State University,Butuan,Biology,Overall,84,"Public-private
partnership"
21,University of the East - Philippines,Manila,Biology,Overall,70,Private
22,University of Mindanao,Davao,Biology,Overall,92,Private
23,University of Southern Mindanao,Kabacan,Biology,Overall,50,"Public-private
partnership"
24,University of the Philippines Mindanao,Davao,Biology,Overall,70,"Public-private
partnership"
25,University of Science and Technology of Southern Philippines,Cagayan de Oro,Biology,Overall,80,"Public-private
partnership"
26,Adamson University,Manila,Biology,Overall,61,Private
27,Isabela State University,Echague,Biology,Overall,88,"Public-private
partnership"
28,Technological Institute of the Philippines,Manila,Biology,Overall,66,Private
29,Polytechnic University of the Philippines,Manila,Biology,Overall,40,"Public-private
partnership"
30,Palawan State University,Puerto Princesa,Biology,Overall,75,"Public-private
partnership"
31,West Visayas State University,Iloilo,Biology,Overall,67,"Public-private
partnership"
32,Philippine Normal University,Manila,Biology,Overall,50,"Public-private
partnership"
33,Bulacan State University,Malolos,Biology,Overall,52,"Public-private
partnership"
34,Benguet State University,La Trinidad,Biology,Overall,100,"Public-private
partnership"
35,Lyceum of the Philippines University,Manila,Biology,Overall,82,Private
36,Laguna State Polytechnic University,Sta. Cruz,Biology,Overall,23,"Public-private
partnership"
37,Batangas State University,Batangas,Biology,Overall,85,"Public-private
partnership"
38,Leyte Normal University,Tacloban,Biology,Overall,84,"Public-private
partnership"
39,Samar State University,Catbalogan City,Biology,Overall,92,"Public-private
partnership"
40,Ateneo de Davao University,Davao,Biology,Overall,50,Private
41,Cebu Normal University,Cebu,Biology,Overall,71,"Public-private
partnership"
42,Mariano Marcos State University,Batac,Biology,Overall,82,"Public-private
partnership"
43,University of Southeastern Philippines,Davao,Biology,Overall,100,"Public-private
partnership"
44,University of Perpetual Help System DALTA,Las Pinas,Biology,Overall,56,Private
45,Nueva Vizcaya State University,Bayombong,Biology,Overall,100,"Public-private
partnership"
46,Surigao del Sur State University,Tandag,Biology,Overall,83,"Public-private
partnership"
47,Don Mariano Marcos Memorial State University,Bacnotan,Biology,Overall,50,"Public-private
partnership"
48,University of Zamboanga,Zamboanga,Biology,Overall,88,Private
49,University of the City of Manila,Manila,Biology,Overall,13,"Public-private
partnership"
50,Xavier University - Ateneo de Cagayan,Cagayan de Oro,Biology,Overall,48,Private
51,University of Eastern Philippines,Catarman,Biology,Overall,85,"Public-private
partnership"
52,Liceo de Cagayan University,Cagayan de Oro,Biology,Overall,86,Private
53,Far Eastern University in Philippines,Manila,Biology,Overall,74,Private
54,Bohol Island State University,Bilar,Biology,Overall,72,"Public-private
partnership"
55,De La Salle - College of Saint Benilde,Manila,Biology,Overall,67,Private
56,Adventist University of the Philippines,Cavite City,Biology,Overall,87,Private
57,University of San Jose-Recoletos,Cebu,Biology,Overall,61,Private
58,San Beda University,Manila,Biology,Overall,63,Private
59,Southwestern University PHINMA,Cebu,Biology,Overall,86,Private
60,University of the Immaculate Conception,Davao,Biology,Overall,74,Private
61,Bukidnon State University,Malaybalay,Biology,Overall,87,"Public-private
partnership"
62,Southern Luzon State University,Lucban,Biology,Overall,86,"Public-private
partnership"
63,University of Bohol,Tagbilaran City,Biology,Overall,76,Private
64,Emilio Aguinaldo College,Manila,Biology,Overall,92,Private
65,Adventist International Institute of Advanced Studies,Silang,Biology,Overall,73,Private
66,University of Northern Philippines,Vigan City,Biology,Overall,100,"Public-private
partnership"
67,Sorsogon State College,Sorsogon,Biology,Overall,81,"Public-private
partnership"
68,Quirino State University,Diffun,Biology,Overall,69,"Public-private
partnership"
1,University of the Philippines Los Banos,Los Banos,Biology,Agricultural Science,15,"Public-private
partnership"
2,University of the Philippines Diliman,Quezon,Biology,Agricultural Science,12,"Public-private
partnership"
3,De La Salle University,Manila,Biology,Agricultural Science,35,Private
4,Visayas State University,Baybay,Biology,Agricultural Science,82,"Public-private
partnership"
5,Central Luzon State University,Science City of Munoz,Biology,Agricultural Science,67,"Public-private
partnership"
6,Mapua University,Manila,Biology,Agricultural Science,78,Private
7,University of the Philippines Manila,Manila,Biology,Agricultural Science,51,"Public-private
partnership"
8,Ateneo de Manila University,Quezon,Biology,Agricultural Science,42,Private
9,University of Santo Tomas,Manila,Biology,Agricultural Science,90,Private
10,University of Southern Mindanao,Kabacan,Biology,Agricultural Science,50,"Public-private
partnership"
11,University of the Philippines in the Visayas,Iloilo,Biology,Agricultural Science,12,"Public-private
partnership"
12,Mindanao State University,Marawi,Biology,Agricultural Science,53,"Public-private
partnership"
13,Benguet State University,La Trinidad,Biology,Agricultural Science,100,"Public-private
partnership"
14,University of San Carlos,Cebu,Biology,Agricultural Science,61,Private
15,Central Mindanao University,Maramag,Biology,Agricultural Science,74,"Public-private
partnership"
16,Isabela State University,Echague,Biology,Agricultural Science,88,"Public-private
partnership"
17,University of Science and Technology of Southern Philippines,Cagayan de Oro,Biology,Agricultural Science,80,"Public-private
partnership"
18,University of the Philippines Mindanao,Davao,Biology,Agricultural Science,70,"Public-private
partnership"
19,Caraga State University,Butuan,Biology,Agricultural Science,84,"Public-private
partnership"
20,Mindanao State University - Iligan Institute of Technology,Iligan,Biology,Agricultural Science,40,"Public-private
partnership"
21,University of Southeastern Philippines,Davao,Biology,Agricultural Science,100,"Public-private
partnership"
22,Laguna State Polytechnic University,Sta. Cruz,Biology,Agricultural Science,23,"Public-private
partnership"
23,Polytechnic University of the Philippines,Manila,Biology,Agricultural Science,40,"Public-private
partnership"
1,University of the Philippines Los Banos,Los Banos,Biology,Animal Science,15,"Public-private
partnership"
2,Central Luzon State University,Science City of Munoz,Biology,Animal Science,67,"Public-private
partnership"
3,University of the Philippines Diliman,Quezon,Biology,Animal Science,12,"Public-private
partnership"
4,University of the Philippines in the Visayas,Iloilo,Biology,Animal Science,12,"Public-private
partnership"
5,Visayas State University,Baybay,Biology,Animal Science,82,"Public-private
partnership"
6,Mindanao State University,Marawi,Biology,Animal Science,53,"Public-private
partnership"
1,University of the Philippines Diliman,Quezon,Biology,Biochemistry,12,"Public-private
partnership"
2,University of the Philippines Los Banos,Los Banos,Biology,Biochemistry,15,"Public-private
partnership"
3,University of the Philippines Manila,Manila,Biology,Biochemistry,51,"Public-private
partnership"
4,De La Salle University,Manila,Biology,Biochemistry,35,Private
5,University of Santo Tomas,Manila,Biology,Biochemistry,90,Private
6,Mapua University,Manila,Biology,Biochemistry,78,Private
7,Ateneo de Manila University,Quezon,Biology,Biochemistry,42,Private
8,Central Luzon State University,Science City of Munoz,Biology,Biochemistry,67,"Public-private
partnership"
9,University of San Carlos,Cebu,Biology,Biochemistry,61,Private
10,Mindanao State University - Iligan Institute of Technology,Iligan,Biology,Biochemistry,40,"Public-private
partnership"
11,University of the Philippines in the Visayas,Iloilo,Biology,Biochemistry,12,"Public-private
partnership"
12,Visayas State University,Baybay,Biology,Biochemistry,82,"Public-private
partnership"
13,Angeles University Foundation,Angeles,Biology,Biochemistry,80,Private
14,University of the Philippines Baguio,Baguio,Biology,Biochemistry,45,"Public-private
partnership"
15,University of the East - Philippines,Manila,Biology,Biochemistry,70,Private
16,University of Asia and the Pacific,Pasig,Biology,Biochemistry,74,Private
17,University of the Philippines Mindanao,Davao,Biology,Biochemistry,70,"Public-private
partnership"
18,Central Mindanao University,Maramag,Biology,Biochemistry,74,"Public-private
partnership"
19,Mindanao State University,Marawi,Biology,Biochemistry,53,"Public-private
partnership"
20,University of Science and Technology of Southern Philippines,Cagayan de Oro,Biology,Biochemistry,80,"Public-private
partnership"
21,Silliman University,Dumaguete City,Biology,Biochemistry,64,Private
22,Polytechnic University of the Philippines,Manila,Biology,Biochemistry,40,"Public-private
partnership"
23,University of Southern Mindanao,Kabacan,Biology,Biochemistry,50,"Public-private
partnership"
24,Adamson University,Manila,Biology,Biochemistry,61,Private
25,Caraga State University,Butuan,Biology,Biochemistry,84,"Public-private
partnership"
26,Technological Institute of the Philippines,Manila,Biology,Biochemistry,66,Private
27,University of Perpetual Help System DALTA,Las Pinas,Biology,Biochemistry,56,Private
28,Isabela State University,Echague,Biology,Biochemistry,88,"Public-private
partnership"
29,Mariano Marcos State University,Batac,Biology,Biochemistry,82,"Public-private
partnership"
30,Surigao del Sur State University,Tandag,Biology,Biochemistry,83,"Public-private
partnership"
1,University of the Philippines Diliman,Quezon,Biology,Bioinformatics / Computational biology,12,"Public-private
partnership"
2,University of the Philippines Manila,Manila,Biology,Bioinformatics / Computational biology,51,"Public-private
partnership"
3,University of Santo Tomas,Manila,Biology,Bioinformatics / Computational biology,90,Private
4,University of the Philippines Los Banos,Los Banos,Biology,Bioinformatics / Computational biology,15,"Public-private
partnership"
5,De La Salle University,Manila,Biology,Bioinformatics / Computational biology,35,Private
6,Mapua University,Manila,Biology,Bioinformatics / Computational biology,78,Private
1,University of the Philippines Los Banos,Los Banos,Biology,Biotechnology,15,"Public-private
partnership"
2,De La Salle University,Manila,Biology,Biotechnology,35,Private
3,University of the Philippines Diliman,Quezon,Biology,Biotechnology,12,"Public-private
partnership"
4,University of the Philippines Manila,Manila,Biology,Biotechnology,51,"Public-private
partnership"
5,University of Santo Tomas,Manila,Biology,Biotechnology,90,Private
6,Central Luzon State University,Science City of Munoz,Biology,Biotechnology,67,"Public-private
partnership"
7,University of San Carlos,Cebu,Biology,Biotechnology,61,Private
1,University of the Philippines Los Banos,Los Banos,Biology,Botany,15,"Public-private
partnership"
2,University of the Philippines Diliman,Quezon,Biology,Botany,12,"Public-private
partnership"
3,De La Salle University,Manila,Biology,Botany,35,Private
4,University of Santo Tomas,Manila,Biology,Botany,90,Private
5,Central Luzon State University,Science City of Munoz,Biology,Botany,67,"Public-private
partnership"
6,University of the Philippines Manila,Manila,Biology,Botany,51,"Public-private
partnership"
7,Visayas State University,Baybay,Biology,Botany,82,"Public-private
partnership"
8,Mapua University,Manila,Biology,Botany,78,Private
9,Ateneo de Manila University,Quezon,Biology,Botany,42,Private
10,University of the Philippines in the Visayas,Iloilo,Biology,Botany,12,"Public-private
partnership"
11,University of San Carlos,Cebu,Biology,Botany,61,Private
12,Central Mindanao University,Maramag,Biology,Botany,74,"Public-private
partnership"
13,Mindanao State University - Iligan Institute of Technology,Iligan,Biology,Botany,40,"Public-private
partnership"
14,Mindanao State University,Marawi,Biology,Botany,53,"Public-private
partnership"
15,University of Southern Mindanao,Kabacan,Biology,Botany,50,"Public-private
partnership"
16,University of Mindanao,Davao,Biology,Botany,92,Private
17,Benguet State University,La Trinidad,Biology,Botany,100,"Public-private
partnership"
18,University of the Philippines Baguio,Baguio,Biology,Botany,45,"Public-private
partnership"
19,University of Science and Technology of Southern Philippines,Cagayan de Oro,Biology,Botany,80,"Public-private
partnership"
20,Caraga State University,Butuan,Biology,Botany,84,"Public-private
partnership"
21,Silliman University,Dumaguete City,Biology,Botany,64,Private
22,University of the Philippines Mindanao,Davao,Biology,Botany,70,"Public-private
partnership"
23,Isabela State University,Echague,Biology,Botany,88,"Public-private
partnership"
24,Technological Institute of the Philippines,Manila,Biology,Botany,66,Private
25,Philippine Normal University,Manila,Biology,Botany,50,"Public-private
partnership"
26,Laguna State Polytechnic University,Sta. Cruz,Biology,Botany,23,"Public-private
partnership"
27,Bulacan State University,Malolos,Biology,Botany,52,"Public-private
partnership"
28,Nueva Vizcaya State University,Bayombong,Biology,Botany,100,"Public-private
partnership"
29,University of Southeastern Philippines,Davao,Biology,Botany,100,"Public-private
partnership"
30,West Visayas State University,Iloilo,Biology,Botany,67,"Public-private
partnership"
31,Polytechnic University of the Philippines,Manila,Biology,Botany,40,"Public-private
partnership"
32,Don Mariano Marcos Memorial State University,Bacnotan,Biology,Botany,50,"Public-private
partnership"
33,Batangas State University,Batangas,Biology,Botany,85,"Public-private
partnership"
34,University of the East - Philippines,Manila,Biology,Botany,70,Private
35,University of Eastern Philippines,Catarman,Biology,Botany,85,"Public-private
partnership"
36,Liceo de Cagayan University,Cagayan de Oro,Biology,Botany,86,Private
37,Mariano Marcos State University,Batac,Biology,Botany,82,"Public-private
partnership"
38,Surigao del Sur State University,Tandag,Biology,Botany,83,"Public-private
partnership"
39,Adventist University of the Philippines,Cavite City,Biology,Botany,87,Private
40,Lyceum of the Philippines University,Manila,Biology,Botany,82,Private
1,University of the Philippines Diliman,Quezon,Biology,Evolutionary,12,"Public-private
partnership"
2,University of the Philippines Los Banos,Los Banos,Biology,Evolutionary,15,"Public-private
partnership"
